V1	V2	V3	V4
0.0357	0.0256	0.341729471	0.46348514
0.0371	0.0231	0.360431124	0.405187833
0.0394	0.0282	0.386056581	0.535506297
0.0285	0.0214	0.254181929	0.368227571
0.0231	0.025	0.176630777	0.446976584
0.0281	0.0252	0.24879293	0.452520016
0.0257	0.0256	0.217958517	0.466072073
0.0354	0.0248	0.338796323	0.442790275
0.0383	0.023	0.377147538	0.404542906
0.0247	0.0246	0.20983075	0.426390178
0.0351	0.0251	0.332224232	0.450759781
0.0363	0.0274	0.349223874	0.503732687
0.0301	0.0228	0.270009417	0.400012785
0.0352	0.0233	0.336995832	0.406869255
0.0257	0.0214	0.217831556	0.368814233
0.0337	0.0253	0.311522902	0.457496795
0.0389	0.0259	0.380809698	0.475343481
0.0285	0.0223	0.252724691	0.389699682
0.0295	0.0289	0.26581341	0.547148201
0.0287	0.0289	0.258768104	0.550905122
0.0354	0.0274	0.33865467	0.502983252
0.0307	0.0312	0.277261303	0.587949903
0.0349	0.0225	0.329169206	0.398795732
0.0229	0.0257	0.174416814	0.468116865
0.033	0.0224	0.305159749	0.395722471
0.0319	0.0223	0.293540743	0.391404357
0.0332	0.0283	0.30429271	0.531214076
0.0345	0.0247	0.323007263	0.43133523
0.0228	0.0279	0.176157437	0.52092107
0.0259	0.0273	0.223805349	0.498866989
0.0359	0.0253	0.345438675	0.456405981
0.0229	0.0253	0.174849976	0.456753087
0.0235	0.0295	0.190409639	0.562036618
0.0329	0.0299	0.300712818	0.572182454
0.0394	0.0244	0.383949951	0.426416348
0.0257	0.0297	0.216765057	0.566959663
0.0396	0.027	0.387341884	0.494502024
0.0313	0.0205	0.284621345	0.34115485
0.0351	0.0278	0.332270424	0.515725486
0.0379	0.0245	0.371684692	0.436701348
0.0386	0.0259	0.37783905	0.475368502
0.0236	0.0276	0.191360186	0.508207597
0.0296	0.0279	0.267549657	0.521273961
0.035	0.0232	0.32878178	0.404275393
0.0277	0.0256	0.240423215	0.465402127
0.032	0.0305	0.290469416	0.583116417
0.0307	0.0249	0.27766107	0.443706163
0.035	0.0278	0.32991937	0.518931951
0.0244	0.0244	0.206764796	0.422788905
0.0278	0.0279	0.2390922	0.525728478
0.0299	0.0289	0.268799803	0.547223502
0.0244	0.0251	0.203628409	0.450684642
0.0326	0.0303	0.298914514	0.582147062
0.0329	0.0286	0.301337699	0.540051041
0.0323	0.0279	0.293885729	0.523242989
0.0346	0.0272	0.323378498	0.494405098
0.0245	0.0253	0.205783909	0.457520118
0.0328	0.0223	0.301805268	0.391767206
0.0265	0.0213	0.22938019	0.365895196
0.0307	0.0272	0.274666002	0.495375109
0.0317	0.0209	0.292054217	0.349664637
0.0334	0.0288	0.307168046	0.544913487
0.0376	0.0274	0.363519202	0.504487379
0.0264	0.0258	0.229428309	0.470824152
0.028	0.0298	0.247268053	0.568892542
0.0345	0.0234	0.322560869	0.410716683
0.0261	0.0302	0.226718417	0.58086918
0.0241	0.0272	0.196852085	0.490854219
0.0359	0.0251	0.3445697	0.449201644
0.0293	0.0294	0.263631711	0.561555543
0.0235	0.0249	0.181892147	0.443485653
0.0221	0.0253	0.166471427	0.456014466
0.0269	0.0221	0.23381898	0.383908184
0.0235	0.0278	0.187651512	0.51926442
0.0221	0.0255	0.167887914	0.457595035
0.037	0.0277	0.358359516	0.519077901
0.026	0.0238	0.227168163	0.413150536
0.0298	0.0278	0.267117271	0.518014121
0.0352	0.0221	0.338251189	0.381993657
0.0329	0.0248	0.303383285	0.440857706
0.0369	0.025	0.356788745	0.450652324
0.0265	0.0247	0.228998414	0.432853416
0.031	0.0271	0.279298232	0.490022791
0.0307	0.0247	0.277527384	0.429959999
0.0317	0.0247	0.292374884	0.431952926
0.0326	0.0266	0.301317044	0.480801233
0.0351	0.0242	0.333326272	0.421128633
0.0242	0.0256	0.20111344	0.462765116
0.0268	0.0253	0.233208927	0.454986124
0.0351	0.0253	0.333833704	0.454806387
0.0363	0.0302	0.346267331	0.578460295
0.0285	0.0256	0.253407414	0.467085443
0.0257	0.0278	0.223593555	0.51790235
0.0334	0.0272	0.309349092	0.493624144
0.0345	0.0256	0.322348646	0.467333661
0.0246	0.0258	0.210098378	0.472451136
0.0239	0.0278	0.19568093	0.51638267
0.0371	0.0273	0.358760572	0.501154232
0.0303	0.031	0.274299618	0.587467609
0.0375	0.0273	0.360937435	0.50229302
0.0341	0.0258	0.318501903	0.470941233
0.0375	0.0254	0.363440758	0.459114294
0.0285	0.0257	0.250418342	0.468404496
0.0333	0.0295	0.306750326	0.562948878
0.0329	0.0253	0.30498458	0.455508535
0.0243	0.0255	0.202010463	0.459504824
0.0263	0.0224	0.229101793	0.398158882
0.0346	0.0279	0.323988257	0.522914039
0.0344	0.0278	0.321385611	0.516568371
0.0258	0.0222	0.223010061	0.384591813
0.0261	0.0293	0.225937555	0.556998285
0.0393	0.0285	0.384038466	0.542479384
0.0358	0.0219	0.342164293	0.378848835
0.0245	0.0299	0.203509569	0.574220347
0.0393	0.0266	0.382834343	0.483318938
0.0259	0.0279	0.223074381	0.525723004
0.0286	0.0264	0.252678642	0.478613074
0.028	0.0276	0.246266941	0.505354612
0.0235	0.0295	0.191292926	0.560938156
0.0347	0.0284	0.32322251	0.533176376
0.0379	0.0269	0.369612055	0.486745092
0.0313	0.0213	0.2842885	0.363891606
0.0352	0.0279	0.33254079	0.525740606
0.0354	0.0293	0.334025243	0.558178979
0.0306	0.0247	0.276117192	0.428877954
0.0227	0.0269	0.173116872	0.485448315
0.0366	0.0263	0.352853465	0.477856133
0.0312	0.0288	0.282538947	0.543804911
0.0236	0.0277	0.190583077	0.511936008
0.0364	0.0247	0.351624576	0.439744702
0.0338	0.0256	0.314319721	0.46533604
0.0362	0.024	0.348562136	0.417034556
0.0377	0.0232	0.366221866	0.407127729
0.0245	0.0272	0.208328329	0.493035562
0.0363	0.0283	0.348617313	0.536291637
0.0394	0.0245	0.385514352	0.427718241
0.0258	0.0236	0.220992641	0.411944278
0.0248	0.0279	0.20978026	0.522846335
0.0395	0.0259	0.387774958	0.475256972
0.0394	0.0243	0.385907753	0.425252069
0.0354	0.0276	0.337476867	0.507224913
0.0254	0.0297	0.215865262	0.566891365
0.0257	0.0238	0.221627965	0.414612039
0.0274	0.0213	0.238870813	0.361872425
0.0344	0.0216	0.324287159	0.371811396
0.0259	0.0278	0.225159926	0.519817019
0.0302	0.0274	0.269861862	0.50194641
0.0277	0.0216	0.242750661	0.370363303
0.0285	0.0255	0.253160571	0.460675034
0.039	0.0236	0.38279398	0.414220206
0.0282	0.0256	0.249770369	0.461807895
0.0239	0.0275	0.196144177	0.503600974
0.0252	0.0247	0.21408325	0.433924043
0.0313	0.0255	0.284039637	0.4603217
0.0234	0.0294	0.184271068	0.559556221
0.0327	0.0249	0.301753748	0.444430308
0.0261	0.0213	0.227876737	0.364164337
0.0242	0.0251	0.201166495	0.450429238
0.0314	0.0264	0.284570595	0.478724405
0.0388	0.0242	0.380416496	0.422169402
0.0306	0.0209	0.274906362	0.349866905
0.0257	0.0278	0.222999321	0.520544418
0.0335	0.0208	0.310675717	0.347313223
0.0219	0.0253	0.16361265	0.456429358
0.0295	0.0209	0.264762587	0.349875569
0.0349	0.0296	0.326055798	0.565374632
0.0233	0.0261	0.180024299	0.475640945
0.035	0.026	0.328509909	0.472968732
0.0391	0.0249	0.383182053	0.44992325
0.0355	0.0242	0.339176399	0.419778109
0.035	0.0211	0.330973921	0.359247031
0.0306	0.0213	0.275241489	0.363918268
0.0229	0.0234	0.174933341	0.410186174
0.0236	0.0244	0.194144274	0.422068962
0.0302	0.0249	0.271348354	0.443493852
0.0357	0.0232	0.34047962	0.403826103
0.0325	0.0272	0.296471738	0.495159381
0.0313	0.0253	0.283091187	0.454738664
0.0383	0.0231	0.37695737	0.406195979
0.029	0.0247	0.261300619	0.436773196
0.0352	0.0212	0.336341252	0.359714778
0.0302	0.0247	0.271713385	0.428645627
0.0363	0.0288	0.346301862	0.543730014
0.0313	0.0294	0.283915627	0.560515611
0.0284	0.0283	0.24970266	0.531443605
0.0302	0.0224	0.27249608	0.39560162
0.0287	0.0213	0.256675099	0.36545808
0.0361	0.0298	0.343839922	0.570014267
0.0377	0.026	0.366718678	0.474016331
0.0362	0.0222	0.349627661	0.392489138
0.0313	0.0286	0.285837713	0.539646204
0.027	0.0244	0.234591925	0.421885944
0.0243	0.0272	0.202440287	0.492827813
0.0308	0.0246	0.279295305	0.42586171
0.0285	0.0298	0.250234342	0.568729911
0.0365	0.0292	0.35124924	0.558026711
0.0236	0.0277	0.189189831	0.513360188
0.0242	0.0247	0.201392485	0.434886829
0.0258	0.027	0.222500122	0.486684294
0.0319	0.0272	0.291248219	0.497078708
0.0305	0.0248	0.27464361	0.440312278
0.0375	0.0273	0.361460217	0.502679771
0.0306	0.0298	0.27596879	0.568939651
0.0308	0.0303	0.278897705	0.58160835
0.0349	0.0247	0.328006474	0.43747984
0.0342	0.0262	0.319664021	0.476936672
0.0286	0.0213	0.25459421	0.362455836
0.0388	0.023	0.381234278	0.403971494
0.0365	0.0246	0.352008423	0.428634275
0.0323	0.0255	0.297081028	0.460095762
0.0228	0.0285	0.174121543	0.538089016
0.0359	0.0289	0.340192586	0.552685049
0.0235	0.0242	0.184290438	0.419529403
0.0241	0.0223	0.198634282	0.388357487
0.0326	0.0302	0.298739517	0.578036042
0.0343	0.0293	0.316884557	0.554858619
0.0301	0.0214	0.272131618	0.367719227
0.0349	0.0255	0.327722116	0.459570339
0.0306	0.0248	0.275570855	0.441960163
0.0375	0.0246	0.364633598	0.429270382
0.0241	0.0248	0.198531629	0.43942318
0.0357	0.0247	0.341106911	0.430655224
0.0292	0.0222	0.262473789	0.384291818
0.0221	0.0258	0.167599762	0.47018354
0.0273	0.0295	0.236845303	0.563070098
0.0402	0.0276	0.392238274	0.516639552
0.0393	0.0276	0.383119242	0.51598842
0.0265	0.0239	0.229940135	0.415659503
0.0288	0.0213	0.25904925	0.360709358
0.0352	0.0232	0.338329042	0.405523348
0.0314	0.0261	0.287069347	0.474034445
0.0318	0.0205	0.292732447	0.341223341
0.0326	0.0301	0.298156359	0.577264746
0.0323	0.0211	0.297973678	0.35642508
0.0285	0.0283	0.251865621	0.531423091
0.0235	0.0241	0.186788735	0.418305823
0.0295	0.0256	0.264981176	0.465230002
0.0302	0.0247	0.273043899	0.433401693
0.0323	0.0242	0.295747752	0.420160463
0.0337	0.0209	0.313062315	0.349840828
0.0235	0.0264	0.184693864	0.478723095
0.0233	0.0242	0.17974059	0.420763345
0.0244	0.0222	0.204466303	0.386477098
0.0361	0.0284	0.343601704	0.534055688
0.0377	0.0246	0.367260572	0.433409564
0.0376	0.0271	0.36316911	0.490722689
0.0327	0.0244	0.30271374	0.421927143
0.0311	0.0302	0.281241866	0.580092217
0.0236	0.0278	0.189768419	0.519266712
0.029	0.0279	0.260094473	0.524063731
0.029	0.0211	0.260497727	0.356709799
0.0355	0.0219	0.341402068	0.378654292
0.0343	0.0219	0.320360803	0.378376358
0.0275	0.0253	0.238880336	0.45477418
0.0361	0.0289	0.342436688	0.550778745
0.0359	0.0256	0.345036097	0.465753732
0.0361	0.0234	0.346171171	0.410539743
0.0273	0.0272	0.236888324	0.491674592
0.0385	0.0249	0.37815381	0.448205311
0.0305	0.0287	0.274412486	0.542273468
0.027	0.0288	0.235159724	0.543140826
0.0311	0.0302	0.281658727	0.580610366
0.0327	0.0251	0.302175115	0.451203312
0.0288	0.0253	0.258732905	0.457188008
0.0301	0.0208	0.271142089	0.346188575
0.0308	0.0209	0.279635761	0.352570961
0.0295	0.0209	0.266166772	0.353122306
0.0336	0.0223	0.310030445	0.391637299
0.0324	0.0277	0.295748097	0.513249517
0.0375	0.0269	0.362856232	0.488468542
0.0366	0.0218	0.354486575	0.376475642
0.0241	0.0268	0.199616609	0.483312574
0.0308	0.021	0.279923206	0.355648731
0.0353	0.0267	0.334696438	0.482040251
0.0328	0.0224	0.302332882	0.397977092
0.0388	0.0254	0.380169427	0.466168708
0.0231	0.0269	0.178016906	0.484734443
0.0284	0.0247	0.254321104	0.436722954
0.0308	0.0293	0.279754794	0.557222659
0.026	0.0251	0.224527138	0.450470704
0.0287	0.0305	0.256094889	0.584708456
0.0338	0.0213	0.314049104	0.361212518
0.0247	0.0257	0.211146923	0.467604462
0.0364	0.0251	0.351218262	0.452381099
0.038	0.0245	0.372674994	0.437870427
0.031	0.0247	0.280181956	0.432925477
0.0279	0.0298	0.244225624	0.569284238
0.0359	0.0266	0.342466293	0.481168633
0.0369	0.0297	0.35554714	0.569664464
0.026	0.0219	0.22544926	0.377989979
0.0235	0.0249	0.182613114	0.445270913
0.036	0.0213	0.346406613	0.364331063
0.0372	0.0246	0.360094979	0.438690552
0.0219	0.0252	0.163598839	0.452501932
0.0258	0.0298	0.218393668	0.567733864
0.0378	0.0273	0.36697961	0.500041494
0.0308	0.029	0.277998666	0.553735519
0.0354	0.0272	0.337288958	0.495743422
0.0287	0.0284	0.256986557	0.536907859
0.0268	0.0224	0.234794498	0.396520982
0.0295	0.0223	0.265661718	0.387672681
0.0235	0.0257	0.186819892	0.467633794
0.0394	0.0286	0.387362043	0.54458573
0.0244	0.0298	0.202463017	0.570161182
0.0279	0.0301	0.244503171	0.576287606
0.0278	0.0264	0.243996401	0.480160758
0.0344	0.0283	0.31870836	0.532682603
0.0375	0.0248	0.364921518	0.444664551
0.0361	0.0224	0.347434792	0.39565184
0.0334	0.0211	0.309588611	0.358593941
0.0329	0.0302	0.300899809	0.578831232
0.0278	0.0247	0.243069685	0.428493871
0.0235	0.0264	0.186408382	0.479164117
0.0317	0.0242	0.291263506	0.41934184
0.0313	0.0288	0.28355649	0.546623296
0.0277	0.0223	0.240688945	0.391985573
0.0368	0.0292	0.35496093	0.558993484
0.0231	0.0253	0.176582341	0.455380013
0.0307	0.0213	0.277431204	0.363557651
